corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00243553,신한자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(신한글로벌채권인컴증권자투자신탁(H)[채권혼합-재간접형]),20200207000074,신한자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화아세안레전드증권자투자신탁(주식)),20200207000654,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화연금60증권전환형투자신탁(주식혼합)),20200207000609,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌리츠부동산자투자신탁2호(리츠-재간접형)),20200207000582,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화월지급아시아분산채권증권자투자신탁(채권-재간접형)),20200207000563,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화단기회사채증권자투자신탁(채권)),20200207000540,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화2.2배레버리지인덱스증권투자신탁(주식-파생재간접형)),20200207000533,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화연금글로벌멀티인컴증권자투자신탁(주식혼합-재간접형)),20200207000518,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화웰스파고글로벌헤지솔루션증권자투자신탁(USD)(주식-재간접형)),20200207000485,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화웰스파고글로벌헤지솔루션증권자투자신탁(UH)(주식-재간접형)),20200207000477,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌헬스케어증권자투자신탁(주식)),20200207000475,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화웰스파고글로벌헤지솔루션증권자투자신탁(H)(주식-재간접형)),20200207000472,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌헬스케어40증권자투자신탁(채권혼합)),20200207000470,한화자산운용,20200207,정
